"model","accession","gene_name","organism","namespace","prompt_id","llm_sim"
"Mistral Large 123B","P05062","ALDOB","human","biological_process","P4_cot",0.537
"Mistral Large 123B","P05062","ALDOB","human","cellular_component","P1_zeroshot",0.41
"Mistral Large 123B","P05062","ALDOB","human","cellular_component","P2_constrained",0.632
"Mistral Large 123B","P05062","ALDOB","human","cellular_component","P3_fewshot",0.64
"Mistral Large 123B","P05062","ALDOB","human","cellular_component","P4_cot",0.632
"Mistral Large 123B","P05062","ALDOB","human","cellular_component","P5_selection",0.659
"Mistral Large 123B","O95760","IL33","human","molecular_function","P1_zeroshot",1
"Mistral Large 123B","O95760","IL33","human","molecular_function","P2_constrained",1
"Mistral Large 123B","O95760","IL33","human","molecular_function","P3_fewshot",1
"Mistral Large 123B","O95760","IL33","human","molecular_function","P4_cot",1
"Mistral Large 123B","O95760","IL33","human","molecular_function","P5_selection",0.474
"Mistral Large 123B","O95760","IL33","human","biological_process","P1_zeroshot",0.334
"Mistral Large 123B","O95760","IL33","human","biological_process","P2_constrained",0.28
"Mistral Large 123B","O95760","IL33","human","biological_process","P3_fewshot",0.156
"Mistral Large 123B","O95760","IL33","human","biological_process","P4_cot",0.134
"Mistral Large 123B","O95760","IL33","human","biological_process","P5_selection",0.241
"Mistral Large 123B","O95760","IL33","human","cellular_component","P1_zeroshot",0.431
"Mistral Large 123B","O95760","IL33","human","cellular_component","P2_constrained",0.61
"Mistral Large 123B","O95760","IL33","human","cellular_component","P3_fewshot",0.874
"Mistral Large 123B","O95760","IL33","human","cellular_component","P4_cot",0.782
"Mistral Large 123B","O95760","IL33","human","cellular_component","P5_selection",0.852
"Mistral Large 123B","Q7Z2G1","H2BWT","human","molecular_function","P1_zeroshot",0.224
"Mistral Large 123B","Q7Z2G1","H2BWT","human","molecular_function","P2_constrained",0.743
"Mistral Large 123B","Q7Z2G1","H2BWT","human","molecular_function","P3_fewshot",0.743
"Mistral Large 123B","Q7Z2G1","H2BWT","human","molecular_function","P4_cot",0.743
"Mistral Large 123B","Q7Z2G1","H2BWT","human","molecular_function","P5_selection",0.743
"Mistral Large 123B","Q7Z2G1","H2BWT","human","cellular_component","P1_zeroshot",0.897
"Mistral Large 123B","Q7Z2G1","H2BWT","human","cellular_component","P2_constrained",0.932
"Mistral Large 123B","Q7Z2G1","H2BWT","human","cellular_component","P3_fewshot",0.821
"Mistral Large 123B","Q7Z2G1","H2BWT","human","cellular_component","P4_cot",0.825
"Mistral Large 123B","Q7Z2G1","H2BWT","human","cellular_component","P5_selection",0.843
"Mistral Large 123B","Q9UK05","GDF2","human","molecular_function","P1_zeroshot",0.5
"Mistral Large 123B","Q9UK05","GDF2","human","molecular_function","P2_constrained",0.577
"Mistral Large 123B","Q9UK05","GDF2","human","molecular_function","P3_fewshot",0.439
"Mistral Large 123B","Q9UK05","GDF2","human","molecular_function","P4_cot",0.547
"Mistral Large 123B","Q9UK05","GDF2","human","molecular_function","P5_selection",0.333
"Mistral Large 123B","Q9UK05","GDF2","human","biological_process","P1_zeroshot",0.483
"Mistral Large 123B","Q9UK05","GDF2","human","biological_process","P2_constrained",0.549
"Mistral Large 123B","Q9UK05","GDF2","human","biological_process","P3_fewshot",0.553
"Mistral Large 123B","Q9UK05","GDF2","human","biological_process","P4_cot",0.551
"Mistral Large 123B","Q9UK05","GDF2","human","biological_process","P5_selection",0.309
"Mistral Large 123B","Q9UK05","GDF2","human","cellular_component","P1_zeroshot",0.78
"Mistral Large 123B","Q9UK05","GDF2","human","cellular_component","P2_constrained",1
"Mistral Large 123B","Q9UK05","GDF2","human","cellular_component","P3_fewshot",0.559
"Mistral Large 123B","Q9UK05","GDF2","human","cellular_component","P4_cot",0.662
"Mistral Large 123B","Q9UK05","GDF2","human","cellular_component","P5_selection",1
"Mistral Large 123B","Q96F07","CYFP2","human","biological_process","P1_zeroshot",0.317
"Mistral Large 123B","Q96F07","CYFP2","human","biological_process","P2_constrained",0.341
"Mistral Large 123B","Q96F07","CYFP2","human","biological_process","P3_fewshot",0.387
"Mistral Large 123B","Q96F07","CYFP2","human","biological_process","P4_cot",0.453
"Mistral Large 123B","Q96F07","CYFP2","human","biological_process","P5_selection",0.427
"Mistral Large 123B","Q96F07","CYFP2","human","cellular_component","P1_zeroshot",0.665
"Mistral Large 123B","Q96F07","CYFP2","human","cellular_component","P2_constrained",0.692
"Mistral Large 123B","Q96F07","CYFP2","human","cellular_component","P3_fewshot",0.684
"Mistral Large 123B","Q96F07","CYFP2","human","cellular_component","P4_cot",0.526
"Mistral Large 123B","Q96F07","CYFP2","human","cellular_component","P5_selection",0.738
"Mistral Large 123B","P08603","CFAH","human","molecular_function","P1_zeroshot",0.387
"Mistral Large 123B","P08603","CFAH","human","molecular_function","P2_constrained",0.137
"Mistral Large 123B","P08603","CFAH","human","molecular_function","P3_fewshot",0.289
"Mistral Large 123B","P08603","CFAH","human","molecular_function","P4_cot",0.348
"Mistral Large 123B","P08603","CFAH","human","molecular_function","P5_selection",0.485
"Mistral Large 123B","P08603","CFAH","human","biological_process","P1_zeroshot",0.408
"Mistral Large 123B","P08603","CFAH","human","biological_process","P2_constrained",0.317
"Mistral Large 123B","P08603","CFAH","human","biological_process","P3_fewshot",0.457
"Mistral Large 123B","P08603","CFAH","human","biological_process","P4_cot",0.472
"Mistral Large 123B","P08603","CFAH","human","biological_process","P5_selection",1
"Mistral Large 123B","P08603","CFAH","human","cellular_component","P1_zeroshot",0.472
"Mistral Large 123B","P08603","CFAH","human","cellular_component","P2_constrained",0.513
"Mistral Large 123B","P08603","CFAH","human","cellular_component","P3_fewshot",0.446
"Mistral Large 123B","P08603","CFAH","human","cellular_component","P4_cot",0.487
"Mistral Large 123B","P08603","CFAH","human","cellular_component","P5_selection",0.59
"Mistral Large 123B","O95391","SLU7","human","molecular_function","P1_zeroshot",0.156
"Mistral Large 123B","O95391","SLU7","human","molecular_function","P2_constrained",0.344
"Mistral Large 123B","O95391","SLU7","human","molecular_function","P3_fewshot",0.169
"Mistral Large 123B","O95391","SLU7","human","molecular_function","P4_cot",0.345
"Mistral Large 123B","O95391","SLU7","human","molecular_function","P5_selection",0.444
"Mistral Large 123B","O95391","SLU7","human","biological_process","P1_zeroshot",0.476
"Mistral Large 123B","O95391","SLU7","human","biological_process","P2_constrained",0.292
"Mistral Large 123B","O95391","SLU7","human","biological_process","P3_fewshot",0.313
"Mistral Large 123B","O95391","SLU7","human","biological_process","P4_cot",0.46
"Mistral Large 123B","O95391","SLU7","human","cellular_component","P1_zeroshot",0.706
"Mistral Large 123B","O95391","SLU7","human","cellular_component","P2_constrained",1
"Mistral Large 123B","O95391","SLU7","human","cellular_component","P3_fewshot",0.776
"Mistral Large 123B","O95391","SLU7","human","cellular_component","P4_cot",0.582
"Mistral Large 123B","O95391","SLU7","human","cellular_component","P5_selection",0.704
"Mistral Large 123B","Q9BSQ5","CCM2","human","biological_process","P1_zeroshot",0.206
"Mistral Large 123B","Q9BSQ5","CCM2","human","biological_process","P2_constrained",0.169
"Mistral Large 123B","Q9BSQ5","CCM2","human","biological_process","P3_fewshot",0.126
"Mistral Large 123B","Q9BSQ5","CCM2","human","biological_process","P4_cot",0.346
"Mistral Large 123B","Q9BSQ5","CCM2","human","biological_process","P5_selection",0.095
"Mistral Large 123B","Q9BSQ5","CCM2","human","cellular_component","P1_zeroshot",0.61
"Mistral Large 123B","Q9BSQ5","CCM2","human","cellular_component","P2_constrained",0.41
"Mistral Large 123B","Q9BSQ5","CCM2","human","cellular_component","P3_fewshot",0.384
"Mistral Large 123B","Q9BSQ5","CCM2","human","cellular_component","P4_cot",0.611
"Mistral Large 123B","Q9BSQ5","CCM2","human","cellular_component","P5_selection",0.581
"Mistral Large 123B","Q9BXF9","TEKT3","human","cellular_component","P1_zeroshot",0.38
"Mistral Large 123B","Q9BXF9","TEKT3","human","cellular_component","P2_constrained",0.401
"Mistral Large 123B","Q9BXF9","TEKT3","human","cellular_component","P3_fewshot",0.531
"Mistral Large 123B","Q9BXF9","TEKT3","human","cellular_component","P4_cot",0.37
"Mistral Large 123B","Q9BXF9","TEKT3","human","cellular_component","P5_selection",0.678
"Mistral Large 123B","Q6L8Q7","PDE12","human","molecular_function","P1_zeroshot",0.551
"Mistral Large 123B","Q6L8Q7","PDE12","human","molecular_function","P2_constrained",0.422
"Mistral Large 123B","Q6L8Q7","PDE12","human","molecular_function","P3_fewshot",0.33
"Mistral Large 123B","Q6L8Q7","PDE12","human","molecular_function","P4_cot",0.631
"Mistral Large 123B","Q6L8Q7","PDE12","human","molecular_function","P5_selection",0.573
"Mistral Large 123B","Q6L8Q7","PDE12","human","biological_process","P1_zeroshot",0.376
"Mistral Large 123B","Q6L8Q7","PDE12","human","biological_process","P2_constrained",0.359
"Mistral Large 123B","Q6L8Q7","PDE12","human","biological_process","P3_fewshot",0.437
"Mistral Large 123B","Q6L8Q7","PDE12","human","biological_process","P4_cot",0.286
"Mistral Large 123B","Q6L8Q7","PDE12","human","biological_process","P5_selection",0.272
"Mistral Large 123B","Q6L8Q7","PDE12","human","cellular_component","P1_zeroshot",0.52
"Mistral Large 123B","Q6L8Q7","PDE12","human","cellular_component","P2_constrained",0.444
"Mistral Large 123B","Q6L8Q7","PDE12","human","cellular_component","P3_fewshot",0.756
"Mistral Large 123B","Q6L8Q7","PDE12","human","cellular_component","P4_cot",0.579
"Mistral Large 123B","Q6L8Q7","PDE12","human","cellular_component","P5_selection",0.444
"Mistral Large 123B","A1A5B4","ANO9","human","molecular_function","P1_zeroshot",0.488
"Mistral Large 123B","A1A5B4","ANO9","human","molecular_function","P2_constrained",0.494
"Mistral Large 123B","A1A5B4","ANO9","human","molecular_function","P3_fewshot",0.499
"Mistral Large 123B","A1A5B4","ANO9","human","molecular_function","P4_cot",0.412
"Mistral Large 123B","A1A5B4","ANO9","human","molecular_function","P5_selection",0.106
"Mistral Large 123B","A1A5B4","ANO9","human","biological_process","P1_zeroshot",0.49
"Mistral Large 123B","A1A5B4","ANO9","human","biological_process","P2_constrained",0.49
"Mistral Large 123B","A1A5B4","ANO9","human","biological_process","P3_fewshot",0.413
"Mistral Large 123B","A1A5B4","ANO9","human","biological_process","P4_cot",0.19
"Mistral Large 123B","A1A5B4","ANO9","human","biological_process","P5_selection",0.367
"Mistral Large 123B","A1A5B4","ANO9","human","cellular_component","P1_zeroshot",0.852
"Mistral Large 123B","A1A5B4","ANO9","human","cellular_component","P2_constrained",1
"Mistral Large 123B","A1A5B4","ANO9","human","cellular_component","P3_fewshot",0.853
"Mistral Large 123B","A1A5B4","ANO9","human","cellular_component","P4_cot",0.914
"Mistral Large 123B","A1A5B4","ANO9","human","cellular_component","P5_selection",0.937
"Mistral Large 123B","Q15389","ANGP1","human","molecular_function","P1_zeroshot",0.571
"Mistral Large 123B","Q15389","ANGP1","human","molecular_function","P2_constrained",0.618
"Mistral Large 123B","Q15389","ANGP1","human","molecular_function","P3_fewshot",0.318
"Mistral Large 123B","Q15389","ANGP1","human","molecular_function","P4_cot",0.38
"Mistral Large 123B","Q15389","ANGP1","human","molecular_function","P5_selection",0.553
"Mistral Large 123B","Q15389","ANGP1","human","biological_process","P1_zeroshot",0.445
"Mistral Large 123B","Q15389","ANGP1","human","biological_process","P2_constrained",0.425
"Mistral Large 123B","Q15389","ANGP1","human","biological_process","P3_fewshot",0.382
"Mistral Large 123B","Q15389","ANGP1","human","biological_process","P4_cot",0.375
"Mistral Large 123B","Q15389","ANGP1","human","biological_process","P5_selection",0.326
"Mistral Large 123B","Q15389","ANGP1","human","cellular_component","P1_zeroshot",0.604
"Mistral Large 123B","Q15389","ANGP1","human","cellular_component","P2_constrained",0.375
"Mistral Large 123B","Q15389","ANGP1","human","cellular_component","P3_fewshot",0.278
"Mistral Large 123B","Q15389","ANGP1","human","cellular_component","P4_cot",0.487
"Mistral Large 123B","Q15389","ANGP1","human","cellular_component","P5_selection",0.742
"Mistral Large 123B","Q96JP9","CDHR1","human","biological_process","P1_zeroshot",0.211
"Mistral Large 123B","Q96JP9","CDHR1","human","biological_process","P2_constrained",0.184
"Mistral Large 123B","Q96JP9","CDHR1","human","biological_process","P3_fewshot",0.116
"Mistral Large 123B","Q96JP9","CDHR1","human","biological_process","P4_cot",0.186
"Mistral Large 123B","P41250","GARS","human","molecular_function","P1_zeroshot",0.466
"Mistral Large 123B","P41250","GARS","human","molecular_function","P2_constrained",0.376
"Mistral Large 123B","P41250","GARS","human","molecular_function","P3_fewshot",0.118
"Mistral Large 123B","P41250","GARS","human","molecular_function","P4_cot",0.373
"Mistral Large 123B","P41250","GARS","human","molecular_function","P5_selection",0.219
"Mistral Large 123B","P41250","GARS","human","biological_process","P1_zeroshot",0.51
"Mistral Large 123B","P41250","GARS","human","biological_process","P2_constrained",0.607
"Mistral Large 123B","P41250","GARS","human","biological_process","P3_fewshot",0.362
"Mistral Large 123B","P41250","GARS","human","biological_process","P4_cot",0.63
"Mistral Large 123B","P41250","GARS","human","biological_process","P5_selection",0.49
"Mistral Large 123B","P41250","GARS","human","cellular_component","P1_zeroshot",0.583
"Mistral Large 123B","P41250","GARS","human","cellular_component","P2_constrained",0.626
"Mistral Large 123B","P41250","GARS","human","cellular_component","P3_fewshot",0.537
"Mistral Large 123B","P41250","GARS","human","cellular_component","P4_cot",0.563
"Mistral Large 123B","P41250","GARS","human","cellular_component","P5_selection",0.779
"Mistral Large 123B","Q6ZVE7","GOT1A","human","cellular_component","P1_zeroshot",0.738
"Mistral Large 123B","Q6ZVE7","GOT1A","human","cellular_component","P2_constrained",0.831
"Mistral Large 123B","Q6ZVE7","GOT1A","human","cellular_component","P3_fewshot",0.615
"Mistral Large 123B","Q6ZVE7","GOT1A","human","cellular_component","P4_cot",0.702
"Mistral Large 123B","Q6ZVE7","GOT1A","human","cellular_component","P5_selection",0.675
"Mistral Large 123B","P62847","RS24","human","molecular_function","P1_zeroshot",0.77
"Mistral Large 123B","P62847","RS24","human","molecular_function","P2_constrained",1
"Mistral Large 123B","P62847","RS24","human","molecular_function","P3_fewshot",0.598
"Mistral Large 123B","P62847","RS24","human","molecular_function","P4_cot",0.696
"Mistral Large 123B","P62847","RS24","human","molecular_function","P5_selection",0.762
"Mistral Large 123B","P62847","RS24","human","biological_process","P1_zeroshot",0.399
"Mistral Large 123B","P62847","RS24","human","biological_process","P2_constrained",0.459
"Mistral Large 123B","P62847","RS24","human","biological_process","P3_fewshot",0.487
"Mistral Large 123B","P62847","RS24","human","biological_process","P4_cot",0.479
"Mistral Large 123B","P62847","RS24","human","biological_process","P5_selection",0.253
"Mistral Large 123B","P62847","RS24","human","cellular_component","P1_zeroshot",0.485
"Mistral Large 123B","P62847","RS24","human","cellular_component","P2_constrained",0.518
"Mistral Large 123B","P62847","RS24","human","cellular_component","P3_fewshot",0.671
"Mistral Large 123B","P62847","RS24","human","cellular_component","P4_cot",0.681
"Mistral Large 123B","P62847","RS24","human","cellular_component","P5_selection",0.491
"Mistral Large 123B","Q9H0C3","TM117","human","biological_process","P1_zeroshot",0.767
"Mistral Large 123B","Q9H0C3","TM117","human","biological_process","P2_constrained",0.562
"Mistral Large 123B","Q9H0C3","TM117","human","biological_process","P3_fewshot",0.767
"Mistral Large 123B","Q9H0C3","TM117","human","biological_process","P4_cot",0.767
"Mistral Large 123B","Q9H0C3","TM117","human","biological_process","P5_selection",0.39
"Mistral Large 123B","Q9H0C3","TM117","human","cellular_component","P1_zeroshot",0.753
"Mistral Large 123B","Q9H0C3","TM117","human","cellular_component","P2_constrained",1
"Mistral Large 123B","Q9H0C3","TM117","human","cellular_component","P3_fewshot",0.752
"Mistral Large 123B","Q9H0C3","TM117","human","cellular_component","P4_cot",0.701
"Mistral Large 123B","Q9H0C3","TM117","human","cellular_component","P5_selection",0.843
"Mistral Large 123B","Q6ZNB7","ALKMO","human","molecular_function","P1_zeroshot",0.449
"Mistral Large 123B","Q6ZNB7","ALKMO","human","molecular_function","P2_constrained",0.403
"Mistral Large 123B","Q6ZNB7","ALKMO","human","molecular_function","P3_fewshot",0.57
"Mistral Large 123B","Q6ZNB7","ALKMO","human","molecular_function","P4_cot",0.295
"Mistral Large 123B","Q6ZNB7","ALKMO","human","molecular_function","P5_selection",0.496
"Mistral Large 123B","Q6ZNB7","ALKMO","human","biological_process","P1_zeroshot",0.453
"Mistral Large 123B","Q6ZNB7","ALKMO","human","biological_process","P2_constrained",0.538
"Mistral Large 123B","Q6ZNB7","ALKMO","human","biological_process","P3_fewshot",0.435
"Mistral Large 123B","Q6ZNB7","ALKMO","human","biological_process","P4_cot",0.731
"Mistral Large 123B","Q6ZNB7","ALKMO","human","cellular_component","P1_zeroshot",1
"Mistral Large 123B","Q6ZNB7","ALKMO","human","cellular_component","P2_constrained",1
"Mistral Large 123B","Q6ZNB7","ALKMO","human","cellular_component","P3_fewshot",1
"Mistral Large 123B","Q6ZNB7","ALKMO","human","cellular_component","P4_cot",1
"Mistral Large 123B","Q6ZNB7","ALKMO","human","cellular_component","P5_selection",0.255
"Mistral Large 123B","O43609","SPY1","human","biological_process","P1_zeroshot",0.249
"Mistral Large 123B","O43609","SPY1","human","biological_process","P2_constrained",0.48
"Mistral Large 123B","O43609","SPY1","human","biological_process","P3_fewshot",0.48
"Mistral Large 123B","O43609","SPY1","human","biological_process","P4_cot",0.329
"Mistral Large 123B","O43609","SPY1","human","biological_process","P5_selection",0.434
"Mistral Large 123B","O43609","SPY1","human","cellular_component","P1_zeroshot",0.487
"Mistral Large 123B","O43609","SPY1","human","cellular_component","P2_constrained",0.584
"Mistral Large 123B","O43609","SPY1","human","cellular_component","P3_fewshot",0.504
"Mistral Large 123B","O43609","SPY1","human","cellular_component","P4_cot",0.671
"Mistral Large 123B","O43609","SPY1","human","cellular_component","P5_selection",0.561
"Mistral Large 123B","P0C2W1","FBSP1","human","molecular_function","P1_zeroshot",0.176
"Mistral Large 123B","P0C2W1","FBSP1","human","molecular_function","P2_constrained",0.101
"Mistral Large 123B","P0C2W1","FBSP1","human","molecular_function","P3_fewshot",0.176
"Mistral Large 123B","P0C2W1","FBSP1","human","molecular_function","P4_cot",0.176
"Mistral Large 123B","P0C2W1","FBSP1","human","molecular_function","P5_selection",0.176
"Mistral Large 123B","P0C2W1","FBSP1","human","biological_process","P1_zeroshot",0.274
"Mistral Large 123B","P0C2W1","FBSP1","human","biological_process","P2_constrained",0.453
"Mistral Large 123B","P0C2W1","FBSP1","human","biological_process","P3_fewshot",0.196
"Mistral Large 123B","P0C2W1","FBSP1","human","biological_process","P4_cot",0.465
"Mistral Large 123B","P0C2W1","FBSP1","human","biological_process","P5_selection",0.236
"Mistral Large 123B","P0C2W1","FBSP1","human","cellular_component","P1_zeroshot",0.611
"Mistral Large 123B","P0C2W1","FBSP1","human","cellular_component","P2_constrained",0.541
"Mistral Large 123B","P0C2W1","FBSP1","human","cellular_component","P3_fewshot",0.436
"Mistral Large 123B","P0C2W1","FBSP1","human","cellular_component","P4_cot",0.568
"Mistral Large 123B","P0C2W1","FBSP1","human","cellular_component","P5_selection",0.708
"Mistral Large 123B","P04004","VTNC","human","molecular_function","P1_zeroshot",1
"Mistral Large 123B","P04004","VTNC","human","molecular_function","P2_constrained",1
"Mistral Large 123B","P04004","VTNC","human","molecular_function","P3_fewshot",1
"Mistral Large 123B","P04004","VTNC","human","molecular_function","P4_cot",1
"Mistral Large 123B","P04004","VTNC","human","molecular_function","P5_selection",0.531
"Mistral Large 123B","P04004","VTNC","human","biological_process","P1_zeroshot",0.43
"Mistral Large 123B","P04004","VTNC","human","biological_process","P2_constrained",0.394
"Mistral Large 123B","P04004","VTNC","human","biological_process","P3_fewshot",0.499
"Mistral Large 123B","P04004","VTNC","human","biological_process","P4_cot",0.355
"Mistral Large 123B","P04004","VTNC","human","biological_process","P5_selection",0.368
"Mistral Large 123B","P04004","VTNC","human","cellular_component","P1_zeroshot",0.674
"Mistral Large 123B","P04004","VTNC","human","cellular_component","P2_constrained",0.589
"Mistral Large 123B","P04004","VTNC","human","cellular_component","P3_fewshot",0.568
"Mistral Large 123B","P04004","VTNC","human","cellular_component","P4_cot",0.674
"Mistral Large 123B","P04004","VTNC","human","cellular_component","P5_selection",0.625
"Mistral Large 123B","Q14BN4","SLMAP","human","molecular_function","P1_zeroshot",0.224
"Mistral Large 123B","Q14BN4","SLMAP","human","molecular_function","P2_constrained",0.128
"Mistral Large 123B","Q14BN4","SLMAP","human","molecular_function","P3_fewshot",0.224
"Mistral Large 123B","Q14BN4","SLMAP","human","molecular_function","P4_cot",0.224
"Mistral Large 123B","Q14BN4","SLMAP","human","molecular_function","P5_selection",0.224
"Mistral Large 123B","Q14BN4","SLMAP","human","biological_process","P1_zeroshot",0.273
"Mistral Large 123B","Q14BN4","SLMAP","human","biological_process","P2_constrained",0.27
"Mistral Large 123B","Q14BN4","SLMAP","human","biological_process","P3_fewshot",0.287
"Mistral Large 123B","Q14BN4","SLMAP","human","biological_process","P4_cot",0.254
"Mistral Large 123B","Q14BN4","SLMAP","human","biological_process","P5_selection",0.299
"Mistral Large 123B","Q14BN4","SLMAP","human","cellular_component","P1_zeroshot",0.432
"Mistral Large 123B","Q14BN4","SLMAP","human","cellular_component","P2_constrained",0.365
"Mistral Large 123B","Q14BN4","SLMAP","human","cellular_component","P3_fewshot",0.355
"Mistral Large 123B","Q14BN4","SLMAP","human","cellular_component","P4_cot",0.515
"Mistral Large 123B","Q14BN4","SLMAP","human","cellular_component","P5_selection",0.373
"Mistral Large 123B","Q96QU1","PCD15","human","biological_process","P1_zeroshot",0.557
"Mistral Large 123B","Q96QU1","PCD15","human","biological_process","P2_constrained",0.667
"Mistral Large 123B","Q96QU1","PCD15","human","biological_process","P3_fewshot",0.314
"Mistral Large 123B","Q96QU1","PCD15","human","biological_process","P4_cot",0.416
"Mistral Large 123B","Q96QU1","PCD15","human","cellular_component","P1_zeroshot",0.552
"Mistral Large 123B","Q96QU1","PCD15","human","cellular_component","P2_constrained",0.592
"Mistral Large 123B","Q96QU1","PCD15","human","cellular_component","P3_fewshot",0.476
"Mistral Large 123B","Q96QU1","PCD15","human","cellular_component","P4_cot",0.493
"Mistral Large 123B","Q96QU1","PCD15","human","cellular_component","P5_selection",0.592
"Mistral Large 123B","Q9H0R5","GBP3","human","molecular_function","P1_zeroshot",0.089
"Mistral Large 123B","Q9H0R5","GBP3","human","molecular_function","P2_constrained",0
"Mistral Large 123B","Q9H0R5","GBP3","human","molecular_function","P3_fewshot",0.293
"Mistral Large 123B","Q9H0R5","GBP3","human","molecular_function","P4_cot",0.355
"Mistral Large 123B","Q9H0R5","GBP3","human","molecular_function","P5_selection",0.582
"Mistral Large 123B","Q9H0R5","GBP3","human","biological_process","P1_zeroshot",0.137
"Mistral Large 123B","Q9H0R5","GBP3","human","biological_process","P2_constrained",0.115
"Mistral Large 123B","Q9H0R5","GBP3","human","biological_process","P3_fewshot",0.096
"Mistral Large 123B","Q9H0R5","GBP3","human","biological_process","P4_cot",0.128
"Mistral Large 123B","Q9H0R5","GBP3","human","biological_process","P5_selection",0.112
"Mistral Large 123B","Q9H0R5","GBP3","human","cellular_component","P1_zeroshot",0.707
"Mistral Large 123B","Q9H0R5","GBP3","human","cellular_component","P2_constrained",0.471
"Mistral Large 123B","Q9H0R5","GBP3","human","cellular_component","P3_fewshot",0.397
"Mistral Large 123B","Q9H0R5","GBP3","human","cellular_component","P4_cot",0.711
"Mistral Large 123B","Q9H0R5","GBP3","human","cellular_component","P5_selection",0.894
"Mistral Large 123B","P50336","PPOX","human","molecular_function","P1_zeroshot",0.37
"Mistral Large 123B","P50336","PPOX","human","molecular_function","P2_constrained",0.37
"Mistral Large 123B","P50336","PPOX","human","molecular_function","P3_fewshot",0.37
"Mistral Large 123B","P50336","PPOX","human","molecular_function","P4_cot",0.37
"Mistral Large 123B","P50336","PPOX","human","molecular_function","P5_selection",0.064
"Mistral Large 123B","P50336","PPOX","human","biological_process","P1_zeroshot",0.68
"Mistral Large 123B","P50336","PPOX","human","biological_process","P2_constrained",0.609
"Mistral Large 123B","P50336","PPOX","human","biological_process","P3_fewshot",0.734
"Mistral Large 123B","P50336","PPOX","human","biological_process","P4_cot",0.749
"Mistral Large 123B","P50336","PPOX","human","cellular_component","P1_zeroshot",0.877
"Mistral Large 123B","P50336","PPOX","human","cellular_component","P2_constrained",0.877
"Mistral Large 123B","P50336","PPOX","human","cellular_component","P3_fewshot",0.877
"Mistral Large 123B","P50336","PPOX","human","cellular_component","P4_cot",0.877
"Mistral Large 123B","P50336","PPOX","human","cellular_component","P5_selection",0.688
"Mistral Large 123B","Q13569","TDG","human","molecular_function","P1_zeroshot",0.158
"Mistral Large 123B","Q13569","TDG","human","molecular_function","P2_constrained",0.131
"Mistral Large 123B","Q13569","TDG","human","molecular_function","P3_fewshot",0.384
"Mistral Large 123B","Q13569","TDG","human","molecular_function","P4_cot",0.168
"Mistral Large 123B","Q13569","TDG","human","molecular_function","P5_selection",0.529
"Mistral Large 123B","Q13569","TDG","human","biological_process","P1_zeroshot",0.932
"Mistral Large 123B","Q13569","TDG","human","biological_process","P2_constrained",1
